sex,age_at_1_jan_2021,month,at_risk_at_study_entry,Persontime,Persontime_ADEM_broad,Persontime_ACUASEARTHRITIS_broad,Persontime_DM_narrow,Persontime_DM_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_ARR_narrow,Persontime_ARR_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_broad,Persontime_AKI_narrow,Persontime_AKI_broad,Persontime_MENINGOENC_narrow,Persontime_MENINGOENC_broad,Persontime_ARD_narrow,Persontime_ARD_broad,Persontime_CHILBLAIN_narrow,Persontime_CHILBLAIN_broad,Persontime_Hemostroke_narrow,Persontime_Hemostroke_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_MIS_KD_narrow,Persontime_MIS_KD_broad,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,0-19,2020-01,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
0,0-19,2020-02,0,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,0,0,0
0,0-19,2020-03,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
0,0-19,2020-04,0,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,270,270,0,0,0
0,0-19,2020-05,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
0,0-19,2020-06,0,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,270,270,0,0,0
0,0-19,2020-07,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
0,0-19,2020-08,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
0,0-19,2020-09,0,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,270,270,0,0,0
0,0-19,2020-10,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,0,0,0
