Dose,type_vax,week_fup,sex,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_narrow,lb_DM_narrow,ub_DM_narrow,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,0,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,11209.15,1357.48,40491.29,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83,0,0,15338.83
0,0,0,0,COVCKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,122710.68,0,0,122710.68,0,0,73626.41,0,0,92033.01,0,0,122710.68,0,0,122710.68,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,92033.01,0,0,73626.41,0,0,73626.41,0,0,92033.01,,,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,73626.41,0,0,92033.01
0,0,0,0,COVCOPD,0,0,0,2,1,1,1,1,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,1,0,0,0,0,0,7792.73,0,0,7792.73,0,0,7792.73,4327.09,524.03,15630.95,2120.1,53.68,11812.41,2120.1,53.68,11812.41,2127.01,53.85,11850.94,2127.01,53.85,11850.94,4316.36,522.73,15592.16,4316.36,522.73,15592.16,0,0,7792.73,0,0,7792.73,0,0,7792.73,4344.34,526.12,15693.23,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,2120.1,53.68,11812.41,2120.1,53.68,11812.41,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,0,0,7792.73,2122.81,53.74,11827.52,23601.5,9489.03,48628.1,0,0,7792.73,0,0,7792.73,0,0,7792.73,2127.01,53.85,11850.94,0,0,7792.73,2127.01,53.85,11850.94
0,0,0,0,COVDIAB,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,7249.73,2021.64,51.18,11263.87,0,0,7249.73,4734.59,573.38,17102.97,0,0,7249.73,0,0,7395.37,0,0,7249.73,0,0,7795.44,2012.84,50.96,11214.83,2012.84,50.96,11214.83,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7546.98,0,0,7795.44,0,0,7395.37,0,0,7395.37,1974.22,49.98,10999.64,19245.97,6249.11,44913.67,0,0,7249.73,0,0,7249.73,0,0,7249.73,0,0,7546.98,0,0,7395.37,0,0,7704.94
0,0,0,0,COVHIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0,0,0,0,COVOBES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,0,0,COVSICKLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0,0,0,0,CV,0,1,0,2,4,4,3,4,5,5,0,0,1,3,0,0,1,1,0,0,0,0,1,1,1,1,1,24,0,0,1,4,1,5,1,1,0,0,0,2177.42,602.43,15.25,3356.55,0,0,2177.42,1228.58,148.79,4438.04,2474.22,674.14,6334.98,2505.27,682.6,6414.49,1794.52,370.07,5244.34,2497.82,680.57,6395.41,3167.88,1028.6,7392.77,3167.88,1028.6,7392.77,0,0,2177.42,0,0,2177.42,591.49,14.98,3295.56,1803.61,371.95,5270.93,590.55,14.95,3290.34,590.55,14.95,3290.34,0,0,2177.42,0,0,2177.42,590.86,14.96,3292.04,590.86,14.96,3292.04,0,0,2177.42,0,0,2177.42,0,0,2177.42,0,0,2177.42,0,0,2177.42,604.17,15.3,3366.21,617.46,15.63,3440.25,599.58,15.18,3340.63,599.58,15.18,3340.63,598.9,15.16,3336.85,29399.34,18836.71,43743.88,0,0,2177.42,0,0,2177.42,590.26,14.94,3288.75,2449.82,667.49,6272.52,599.58,15.18,3340.63,3112.43,1010.6,7263.38
0,0,0,0,IMMUNOSUPPR,0,0,0,1,1,1,1,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,1,7,0,0,0,1,1,2,0,0,0,0,0,6595.35,0,0,6595.35,0,0,6595.35,1795.28,45.45,10002.67,1826.16,46.23,10174.71,1826.16,46.23,10174.71,1798.29,45.53,10019.41,1865.52,47.23,10394.01,1855.19,46.97,10336.46,1855.19,46.97,10336.46,0,0,6595.35,0,0,6595.35,0,0,6595.35,3660.92,443.35,13224.5,0,0,6595.35,0,0,6595.35,0,0,6595.35,0,0,6595.35,1793.34,45.4,9991.86,1793.34,45.4,9991.86,0,0,6595.35,0,0,6595.35,0,0,6595.35,0,0,6595.35,0,0,6595.35,0,0,6595.35,0,0,6595.35,1790.7,45.34,9977.17,1790.7,45.34,9977.17,1795.28,45.45,10002.67,20130.3,8093.43,41476.12,0,0,6595.35,0,0,6595.35,0,0,6595.35,1798.29,45.53,10019.41,1790.7,45.34,9977.17,3602.25,436.25,13012.56
0,0,0,0,any_risk_factors,0,1,0,5,4,4,3,4,6,6,0,0,1,3,0,0,1,1,0,0,0,0,1,1,2,2,2,35,0,0,1,4,2,6,1,1,0,0,0,1343.57,368.82,9.34,2054.93,0,0,1343.57,1894.16,615.03,4420.33,1499.2,408.48,3838.55,1510.55,411.57,3867.6,1101.65,227.19,3219.5,1507.83,410.83,3860.65,2295.97,842.58,4997.35,2295.97,842.58,4997.35,0,0,1343.57,0,0,1343.57,364.69,9.23,2031.91,1105.08,227.89,3229.5,364.33,9.22,2029.93,364.33,9.22,2029.93,0,0,1343.57,0,0,1343.57,364.45,9.23,2030.58,364.45,9.23,2030.58,0,0,1343.57,0,0,1343.57,0,0,1343.57,0,0,1343.57,0,0,1343.57,369.47,9.35,2058.55,374.4,9.48,2086,735.73,89.1,2657.71,735.73,89.1,2657.71,735.61,89.09,2657.26,22640.93,15770.24,31488.06,0,0,1343.57,0,0,1343.57,364.22,9.22,2029.32,1490.21,406.03,3815.52,735.73,89.1,2657.71,2258.18,828.71,4915.12
