DAP,AESI,Vaccine & dose,Days since vaccination,Age,Sex,Cases,Person days,IR narrow,LL narrow,UL narrow,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH
<<<<<<< HEAD
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,60+,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,<60,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,60+,Male,0,7,0,0,19248046.01,7,7,7,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,<60,Male,0,7,0,0,19248046.01,7,7,7,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,60+,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,<60,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
=======
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,60+,Female,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,Inf,0,0,Inf
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,<60,Female,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,Inf,0,0,Inf
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,60+,Male,0,7,0,0,19248046.01,7,7,7,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,0-6,<60,Male,0,7,0,0,19248046.01,7,7,7,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,60+,Female,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,Inf,0,0,Inf
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,<60,Female,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,Inf,0,0,Inf
>>>>>>> development
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,60+,Male,0,8,0,0,16842040.26,8,8,8,0,0,0,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26
TEST,ACUASEARTHRITIS_broad,AstraZeneca dose 1,7-13,<60,Male,0,14,0,0,9624023,14,14,14,0,0,0,0,0,9624023,0,0,9624023,0,0,9624023
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,0-6,60+,Female,0,11,0,0,12248756.55,11,7,11,0,0,0,0,0,12248756.55,0,0,19248046.01,0,0,12248756.55
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,0-6,<60,Female,0,42,0,0,3208007.67,42,35,42,0,0,0,0,0,3208007.67,0,0,3849609.2,0,0,3208007.67
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,0-6,60+,Male,0,12,0,0,11228026.84,12,3,12,0,0,0,0,0,11228026.84,0,0,44912107.35,0,0,11228026.84
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,0-6,<60,Male,0,28,0,0,4812011.5,28,21,28,0,0,0,0,0,4812011.5,0,0,6416015.34,0,0,4812011.5
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,7-13,60+,Female,0,18,0,0,7485351.23,18,14,18,0,0,0,0,0,7485351.23,0,0,9624023,0,0,7485351.23
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,7-13,<60,Female,0,82,0,0,1643125.88,82,68,82,0,0,0,0,0,1643125.88,0,0,1981416.5,0,0,1643125.88
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,7-13,60+,Male,0,15,0,0,8982421.47,15,3,15,0,0,0,0,0,8982421.47,0,0,44912107.35,0,0,8982421.47
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,7-13,<60,Male,0,47,0,0,2866730.26,47,40,47,0,0,0,0,0,2866730.26,0,0,3368408.05,0,0,2866730.26
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,14-20,60+,Female,0,25,0,0,5389452.88,25,21,25,0,0,0,0,0,5389452.88,0,0,6416015.34,0,0,5389452.88
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,14-20,<60,Female,0,117,0,0,1151592.5,117,96,117,0,0,0,0,0,1151592.5,0,0,1403503.35,0,0,1151592.5
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,14-20,60+,Male,0,15,0,0,8982421.47,15,3,15,0,0,0,0,0,8982421.47,0,0,44912107.35,0,0,8982421.47
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,14-20,<60,Male,0,61,0,0,2208792.16,61,54,61,0,0,0,0,0,2208792.16,0,0,2495117.08,0,0,2208792.16
TEST,ACUASEARTHRITIS_broad,Pfizer dose 1,21-27,60+,Female,0,32,0,0,4210510.06,32,28,32,0,0,0,0,0,4210510.06,0,0,4812011.5,0,0,4210510.06
