datasource,week,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200113,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200120,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200127,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200203,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200210,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200217,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200224,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200302,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200309,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200316,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,401000.96
TEST,20200323,none,no_dose,CV,ACUASEARTHRITIS_broad,1,108705.36,2752.18,605667.48
TEST,20200330,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,409532.89
TEST,20200406,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,415852.85
TEST,20200413,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,418435.78
TEST,20200420,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,418435.78
TEST,20200427,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,422370.92
TEST,20200504,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200511,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200518,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200525,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200601,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200608,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200615,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200622,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200629,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,427734.36
TEST,20200706,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,431847.19
TEST,20200713,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,437455.59
TEST,20200720,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,437455.59
TEST,20200727,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,437455.59
TEST,20200803,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,437455.59
TEST,20200810,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,440314.78
TEST,20200817,none,no_dose,CV,ACUASEARTHRITIS_broad,0,0,0,447628.98
