monday_week,A_duplicated_records,B_missing_date,C_date_before_start_vax,D_distance_btw_1_2_doses,E_distance_btw_2_3_doses,F_dose_after_3,G_dose_after_2,H_dose_not_in_persons,I_birth_date_absurd,J_no_observation_period,K_death_before_study_entry,L_no_observation_period_including_study_start,M_insufficient_run_in,N_death_before_vax,O_exit_spell_before_vax,P_study_end_before_vax,N
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57
2021-01-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,7
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53
2021-02-01,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59
2021-02-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88
2021-02-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128
2021-03-08,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,155
2021-03-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,7
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,115
2021-03-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
