sex,Dose,type_vax,week,riskfactor,ACUASEARTHRITIS_broad_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,2020-01-06,CV,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,687430.21,0,0,687430.21,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,196370.97,4971.68,1094109,196370.97,4971.68,1094109,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,196370.97,4971.68,1094109,0,0,712890.59,204050.28,5166.11,1136895.39
0,0,0,2020-01-13,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-01-20,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-01-27,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-02-03,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-02-10,CV,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,195320.86,4945.1,1088258.15,195320.86,4945.1,1088258.15,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-02-17,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-02-24,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-03-02,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,740309.46,0,0,712890.59,0,0,769921.84
0,0,0,2020-03-09,CV,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,206355.93,5224.48,1149741.67,206355.93,5224.48,1149741.67,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,206355.93,5224.48,1149741.67,0,0,712890.59,214852.94,5439.61,1197083.97
0,0,0,2020-03-16,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,769921.84,0,0,769921.84,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,769921.84,0,0,712890.59,0,0,802001.92
0,0,0,2020-03-23,CV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186352.04,4718.03,1038287.12,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,769921.84,0,0,769921.84,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,769921.84,0,0,712890.59,0,0,802001.92
0,0,0,2020-03-30,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712890.59,0,0,687430.21,0,0,740309.46,0,0,740309.46,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,769921.84,0,0,769921.84,0,0,712890.59,0,0,712890.59,0,0,687430.21,0,0,3208007.67,0,0,687430.21,0,0,769921.84,0,0,712890.59,0,0,802001.92
0,0,0,2020-04-06,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732262.62,0,0,705425.77,0,0,761222.16,0,0,761222.16,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,792566.6,0,0,792566.6,0,0,732262.62,0,0,732262.62,0,0,705425.77,0,0,3208007.67,0,0,705425.77,0,0,792566.6,0,0,732262.62,0,0,826603.2
